id,longitude,latitude,basin,district_code,population,public_meeting
12958,33.34526033,-3.83899753,Internal,3,0.0,True
13620,33.5406067,-9.17290468,Lake Nyasa,4,0.0,True
18864,35.87141325,-8.22756303,Rufiji,7,70.0,True
25182dq,34.44128349,-9.18987766,Rufiji,4,,True
3228,37.37285829,-3.34929238,Pangani,6,10.0,True
19308,32.04683486,-8.57166114,Lake Rukwa,2,200.0,True
10745oy,33.95816322,-9.44812238,Lake Nyasa,3,,True
32376n,0.0,-2e-08,Lake Victoria,6,0.0,True
9417,30.98302258,-1.68065404,Lake Victoria,1,0.0,True
68724bz,37.34816881,-3.35653763,Pangani,6,1.0,True
74197zgk,37.47943592,-3.36819761,Pangani,4,45.0,True
22961,36.72112734,-3.33981163,Pangani,2,150.0,True
24593fl,35.56134607,-3.80687858,Internal,3,456.0,
29952,38.78943655,-5.11324963,Pangani,3,200.0,True
40393,38.37667127,-4.6472894999999985,Pangani,1,1.0,True
8265wj,36.94745079,-3.35002587,Pangani,7,130.0,True
67433,34.76272634,-4.30776106,Internal,1,225.0,True
51072qqa,34.62159801,-5.17313618,Internal,2,1.0,True
34255,34.89725735,-9.2035221,Rufiji,4,50.0,True
22108fi,30.71609028,-1.2857798,Lake Victoria,1,0.0,True
4720s,34.55789311,-8.88959406,Rufiji,4,54.0,True
54801lv,29.76800862,-4.47180947,Lake Tanganyika,2,1.0,True
21990,35.81898147,-8.93495018,Rufiji,3,280.0,True
17386,34.46222769,-8.57578037,Rufiji,7,0.0,True
41609zc,34.24718,-8.60751263,Rufiji,7,0.0,True
35715sur,34.657034499999995,-1.88801974,Lake Victoria,2,200.0,
53970l,30.41995839,-4.27996794,Lake Tanganyika,2,1.0,True
62971ieq,31.79687285,-1.35148627,Lake Victoria,6,0.0,True
63542y,34.68047144,-9.3264772,Rufiji,4,,True
15622exi,36.93165941,-3.55703413,Pangani,7,140.0,True
12903,38.58082367,-4.8348356,Pangani,2,900.0,True
52561,32.25500494,-3.36190077,Lake Tanganyika,5,0.0,True
19415uj,34.28447604,-9.27156548,Lake Nyasa,3,0.0,True
3675bca,36.75793224,-3.3747906000000003,Pangani,7,360.0,True
34383ex,33.53890869,-3.36161167,Internal,8,0.0,True
30423akv,34.19057512,-1.60969058,Lake Victoria,3,544.0,
68717,32.18551701,-2.37877187,Lake Victoria,5,0.0,True
3688dlh,35.73447433,-7.91231657,Rufiji,1,441.0,True
30537hf,31.55890304,-2.02646851,Lake Victoria,3,0.0,True
27312mi,38.35356668,-6.63869562,Wami / Ruvu,1,20.0,False
62591,38.96294513,-10.47656619,Ruvuma / Southern Coast,53,280.0,True
39920vl,38.89040167,-6.55790327,Wami / Ruvu,1,40.0,True
70892d,35.51217404,-4.44803987,Internal,2,221.0,True
48593p,31.45311103,-1.19438963,Lake Victoria,7,0.0,True
26419bdd,30.21673046,-4.34106206,Lake Tanganyika,2,950.0,True
68554,30.12668109,-4.23637808,Lake Tanganyika,2,1430.0,True
29083,33.0795039,-3.00965923,Lake Victoria,7,0.0,False
43206qu,33.23583842,-3.56601953,Internal,3,0.0,False
41743,39.04298326,-4.99423737,Pangani,4,110.0,True
17970qc,34.56343795,-4.09374985,Internal,1,256.0,True
25693rr,30.65026741,-3.55486258,Lake Tanganyika,1,150.0,True
57580rmw,37.17489041,-3.21646394,Pangani,5,75.0,True
23000h,37.61640658,-3.56996907,Pangani,2,320.0,True
59902vqu,33.69790014,-3.26949691,Internal,2,0.0,True
60371,31.767300899999995,-3.0251057,Lake Victoria,8,0.0,True
74246,35.63048144,-7.71054858,Rufiji,1,1.0,True
7116vtg,33.80508085,-9.1306743,Lake Nyasa,4,0.0,True
64063p,36.90832887,-3.33074309,Pangani,7,120.0,True
59983iff,36.87553547,-3.3445666,Pangani,7,120.0,True
10784yry,31.48904738,-3.26790435,Lake Tanganyika,4,0.0,True
49503y,33.23267014,-9.26648533,Lake Nyasa,2,0.0,False
54248b,36.55702857,-6.37279744,Wami / Ruvu,1,0.0,True
24409eu,31.66327256,-1.08048548,Lake Victoria,7,0.0,True
21068,37.48747402,-6.82950072,Wami / Ruvu,6,,True
62341i,33.35647131,-2.06349369,Lake Victoria,4,804.0,False
10837op,34.44864527,-2.02266257,Lake Victoria,2,600.0,False
35458,37.02381013,-5.5923447,Pangani,5,1.0,True
36038ru,34.22303933,-9.3449213,Lake Nyasa,3,0.0,True
64447,31.57239755,-1.42926609,Lake Victoria,2,0.0,True
22897gu,31.4647567,-2.77016894,Lake Tanganyika,4,0.0,True
2915r,36.77862138,-2.55618033,Internal,6,370.0,True
14016wyu,33.87310388,-9.29061569,Lake Nyasa,4,0.0,True
69525f,32.071081,-5.06726885,Lake Tanganyika,4,0.0,False
73061,34.71064345,-5.18676616,Internal,2,50.0,True
42031,34.64835709,-9.31731152,Rufiji,4,305.0,True
33235,32.95155946,-3.77939282,Internal,3,0.0,True
41839,32.99370088,-2.69044203,Lake Victoria,7,0.0,
62002fr,31.6012707,-2.93012242,Lake Tanganyika,8,0.0,True
6106f,36.84150658,-3.49366766,Pangani,2,150.0,True
25915yu,33.86126585,-8.68481006,Rufiji,7,0.0,True
20673xw,32.54432125,-4.07660522,Lake Tanganyika,3,0.0,True
59475x,38.32726235,-4.4646702000000005,Pangani,1,,True
24012ws,34.68859705,-9.69622598,Lake Nyasa,5,50.0,True
69107hr,32.41352249,-9.09504292,Lake Rukwa,6,0.0,True
64062,39.88898115,-10.13363156,Ruvuma / Southern Coast,2,1.0,False
44002,31.19411613,-3.06136744,Lake Tanganyika,4,0.0,True
37471zrj,31.64732214,-2.78450823,Lake Victoria,4,0.0,True
49585b,33.86084491,-9.59608383,Lake Nyasa,3,0.0,True
60852pw,37.82346185,-6.771698700000001,Wami / Ruvu,2,150.0,True
64130y,32.78502522,-5.41803094,Lake Tanganyika,5,0.0,True
17687d,37.44310991,-6.29976667,Wami / Ruvu,6,1.0,True
38876qa,37.88687839,-6.86199999,Wami / Ruvu,2,1.0,True
28669,39.1857105,-6.89259326,Wami / Ruvu,2,150.0,
66521dwt,34.98887131,-8.91132497,Rufiji,4,40.0,True
53167ra,39.6002343,-10.02772132,Ruvuma / Southern Coast,62,200.0,True
24232iz,34.35839958,-8.69424705,Rufiji,7,0.0,False
65788n,34.45547821,-1.24644694,Lake Victoria,1,1600.0,True
72981,33.78421925,-8.77994557,Rufiji,7,0.0,True
60983wsa,39.52711433,-6.98874758,Wami / Ruvu,3,50.0,True
37768gv,34.56387749,-1.72068493,Lake Victoria,2,400.0,
64880rhh,29.80857829,-4.46052001,Lake Tanganyika,2,590.0,True
32871lo,37.41877342,-10.91557638,Ruvuma / Southern Coast,1,1.0,False
45564,33.54480544,-8.928838699999998,Rufiji,2,0.0,True
50173yk,34.08915375,-3.12214007,Lake Victoria,2,0.0,True
66843kb,39.55938321,-9.70159734,Ruvuma / Southern Coast,23,1.0,False
13815luk,34.94546531,-8.86866011,Rufiji,4,250.0,True
36591,32.06591365,-8.68875072,Lake Rukwa,2,450.0,True
71845w,34.68050209,-8.84136926,Rufiji,4,80.0,True
42180k,30.26413388,-4.52564753,Lake Tanganyika,2,560.0,True
63632e,33.16358148,-2.54645921,Lake Victoria,2,0.0,True
55594,35.0800974,-5.32212056,Internal,3,2500.0,True
11787of,33.43789893,-4.42476057,Internal,2,,True
48528bjc,30.90475149,-5.10070113,Lake Tanganyika,3,1050.0,True
72678j,0.0,-2e-08,Lake Victoria,1,0.0,False
50970hpo,39.08229758,-10.9753631,Ruvuma / Southern Coast,33,,True
37840l,35.98642477,-10.73055089,Ruvuma / Southern Coast,5,540.0,True
44258xyf,31.7799078,-7.80637606,Lake Rukwa,2,300.0,True
10715,38.33493265,-6.45446888,Wami / Ruvu,1,12.0,True
12120k,36.70397575,-8.12006358,Rufiji,3,,True
67980r,36.70991445,-6.64260892,Wami / Ruvu,1,632.0,True
41635zrb,31.52365762,-8.17864388,Lake Tanganyika,2,50.0,True
14884lpz,35.7005422,-3.81945703,Internal,1,245.0,True
56725,0.0,-2e-08,Lake Victoria,1,0.0,
33037eb,33.20344175,-9.07440778,Lake Rukwa,6,0.0,False
22190vi,38.76743559,-5.17227682,Pangani,3,600.0,True
47459,35.63419525,-7.85014451,Rufiji,1,1.0,True
68908ve,39.67094346,-7.90660636,Rufiji,60,32.0,True
62670cv,36.8272342,-3.18469585,Internal,7,120.0,True
60866k,32.06802448,-8.68938706,Lake Rukwa,2,59.0,True
2136so,39.8543204,-7.78306327,Rufiji,63,230.0,True
33320,35.76391894,-8.08918663,Rufiji,7,1.0,True
58126ver,33.01476219,-8.43639754,Lake Rukwa,1,0.0,True
45604,31.51225219,-1.13959123,Lake Victoria,7,0.0,True
52318ogn,33.85161987,-8.82993517,Rufiji,7,,True
33347c,34.88475031,-4.89751605,Internal,2,1.0,
36684u,34.95840922,-8.51078169,Rufiji,2,0.0,True
41034,35.2725042,-8.19550192,Rufiji,2,0.0,True
112jz,38.34276796,-6.60873088,Wami / Ruvu,1,50.0,True
4807,34.71600987,-9.12973959,Rufiji,4,25.0,True
41845twz,39.77883219,-10.60671713,Ruvuma / Southern Coast,1,150.0,True
6065,37.89233459,-4.36699297,Pangani,3,500.0,True
37187axj,37.59718978,-3.08465534,Pangani,1,1.0,True
26540t,33.50998861,-2.15235319,Lake Victoria,4,100.0,True
30377u,30.75176889,-2.54922891,Lake Victoria,30,0.0,True
20203qw,34.89458362,-4.49407781,Internal,2,1.0,True
8060dw,34.89930829,-9.20451104,Rufiji,4,40.0,True
59630,34.920323100000005,-8.83707693,Rufiji,4,,True
34609to,31.77582328,-1.33162743,Lake Victoria,6,0.0,True
26701ad,32.85025146,-9.01509636,Lake Rukwa,6,0.0,True
46897s,36.78231907,-3.36937009,Pangani,7,400.0,True
34636zk,38.23544422,-6.63641192,Wami / Ruvu,1,100.0,True
52520zx,35.88015611,-3.25083059,Internal,30,200.0,True
75nv,34.5688417,-8.91716508,Rufiji,4,20.0,True
31626icu,33.82643865,-9.52747959,Lake Nyasa,3,0.0,True
3181ufx,30.35823687,-5.56948805,Lake Tanganyika,1,100.0,True
43098vwc,33.24244114,-9.31914172,Lake Nyasa,5,0.0,True
34853,33.93868915,-9.61165417,Lake Nyasa,3,0.0,True
31132py,33.10016187,-3.81255032,Lake Victoria,3,0.0,True
37562yv,36.65057433,-3.2526794,Pangani,2,150.0,True
30257,34.96353666,-4.67802251,Internal,2,30.0,True
40729gwi,36.97044487,-3.34985393,Pangani,7,90.0,True
48695yt,29.88356158,-4.59970578,Lake Tanganyika,2,570.0,True
35140v,38.93735313,-6.70497547,Wami / Ruvu,2,1.0,True
46814rax,33.35805782,-2.07269915,Lake Victoria,4,1.0,False
7721,37.08879175,-6.01081035,Wami / Ruvu,1,700.0,True
63695,34.64498869,-4.74212404,Internal,4,111.0,
7171qa,32.16614798,-3.64794666,Lake Tanganyika,5,0.0,True
58838hk,32.91684591,-2.84922488,Lake Victoria,7,0.0,
61046,38.4687019,-5.13246175,Pangani,2,120.0,True
68347u,33.00023911,-2.07363796,Lake Victoria,1,350.0,True
14952,39.33063258,-10.99280378,Ruvuma / Southern Coast,33,630.0,True
64334wl,35.53081946,-4.50268446,Internal,2,270.0,True
72374,33.333789,-8.95920754,Lake Rukwa,2,0.0,True
33169p,33.2773436,-4.20136566,Internal,1,0.0,True
59588,38.97388970000001,-5.12551864,Pangani,4,100.0,True
46893x,36.83283068,-6.09538776,Wami / Ruvu,1,250.0,True
16944k,31.73311371,-2.47636967,Lake Victoria,8,0.0,True
35828,35.62759083,-6.03113722,Internal,5,0.0,True
24377p,39.09126059,-4.9549518,Pangani,8,200.0,True
51694zj,35.06153079,-7.91507677,Rufiji,1,1.0,True
70241l,31.80083428,-1.31490138,Lake Victoria,6,0.0,True
1780i,35.87761667,-7.42197042,Rufiji,1,1.0,True
39490kj,38.70152604,-5.13617489,Pangani,3,1000.0,True
21704zp,37.43964118,-3.31993627,Pangani,4,30.0,True
35193,39.24417821,-7.36829284,Rufiji,4,500.0,True
24948iwo,34.63225535,-8.72031632,Rufiji,4,55.0,True
6076,38.79470824,-10.57239234,Ruvuma / Southern Coast,33,1700.0,True
18451qyf,37.5816604,-3.2649629,Pangani,4,1.0,True
34877jv,34.3039125,-9.5043126,Lake Nyasa,3,0.0,True
10891,32.50515031,-3.91165507,Lake Tanganyika,3,0.0,True
33500,0.0,-2e-08,Lake Victoria,6,0.0,True
1012ia,39.76790839,-10.37243798,Ruvuma / Southern Coast,1,,True
4321b,35.62422947,-7.86001982,Rufiji,1,,True
41162kh,31.04447027,-7.50921781,Lake Tanganyika,3,1.0,
31957x,31.45223354,-1.29523982,Lake Victoria,7,0.0,True
15815,35.06630886,-5.85530454,Internal,3,250.0,True
47462wv,35.63768716,-6.32118,Internal,5,0.0,True
28110fi,33.0849318,-3.75139073,Lake Victoria,3,0.0,True
52448gq,35.91196769,-5.79362559,Wami / Ruvu,6,0.0,True
18832ahl,36.76604605,-3.39285751,Pangani,7,210.0,True
14326pb,37.56451071,-4.18247567,Pangani,3,87.0,True
36933jub,33.30381177,-8.95958218,Lake Rukwa,2,,True
65093,38.80660601,-10.56479172,Ruvuma / Southern Coast,33,2530.0,True
50139xs,33.69121711,-9.45005507,Lake Nyasa,4,0.0,True
36455gww,32.74750562,-5.630633,Lake Tanganyika,5,0.0,False
49732gp,32.71120577,-8.81026548,Lake Rukwa,6,0.0,False
20200a,33.06037263,-3.83408324,Internal,3,0.0,True
43777,30.5365143,-3.79134872,Lake Tanganyika,1,450.0,True
42497,34.73579846,-11.16676157,Lake Nyasa,3,86.0,
52601,36.36552941,-8.77905499,Rufiji,4,1.0,True
65530kr,39.11013687,-4.75461109,Pangani,8,1.0,True
73024wv,37.67816216,-3.69879186,Pangani,2,80.0,True
9474,30.01709818,-4.33258278,Lake Tanganyika,2,50.0,True
44434,30.70845573,-3.59108444,Lake Tanganyika,1,450.0,True
36366myv,33.83495799,-3.76408399,Internal,8,,True
47236bcg,36.65864318,-3.3307891000000005,Pangani,2,150.0,True
71487pco,0.0,-2e-08,Lake Victoria,2,0.0,True
46268rrl,37.29307888,-3.2217387000000004,Pangani,4,1.0,False
36093j,33.99969741,-3.56849388,Internal,2,0.0,True
2591qkc,31.53969095,-7.90807484,Lake Tanganyika,4,0.0,True
69669w,30.74937852,-3.41197674,Lake Tanganyika,1,500.0,True
67377jl,37.59776312,-6.89558991,Wami / Ruvu,5,450.0,True
51185qt,34.84539417,-4.26244399,Internal,1,230.0,True
24049vh,36.90794506,-3.17881406,Internal,7,96.0,True
70835hb,35.73363834,-3.30450464,Internal,30,150.0,True
74176eil,37.37037474,-3.30815036,Pangani,4,100.0,True
68037c,35.86593887,-5.97347421,Wami / Ruvu,5,0.0,True
10992ze,39.73445071,-10.84665973,Ruvuma / Southern Coast,4,1.0,True
45886yz,33.04857289,-1.84987437,Lake Victoria,1,300.0,True
64793df,32.6262126,-9.24781007,Lake Rukwa,6,0.0,True
40808jp,38.69103275,-10.87666127,Ruvuma / Southern Coast,63,36.0,True
62565kqi,30.51219714,-2.50530793,Lake Victoria,30,0.0,True
70379qw,0.0,-2e-08,Lake Victoria,6,0.0,True
10089jl,33.02122705,-3.74548548,Lake Victoria,3,0.0,True
37364ykv,33.76897675,-9.57524712,Lake Nyasa,3,0.0,True
43345,33.43091711,-4.38908379,Internal,2,0.0,True
39310u,31.87632762,-3.15255484,Lake Tanganyika,8,0.0,True
59713amx,0.0,-2e-08,Lake Victoria,6,0.0,True
54009,39.68832862,-7.9593708,Rufiji,60,50.0,True
35563sge,36.03263045,-10.53104474,Rufiji,5,900.0,True
17668,33.61237059,-8.87481184,Rufiji,2,0.0,True
30390,33.8783666,-9.63286017,Lake Nyasa,3,0.0,True
1298wt,30.71672742,-1.28905466,Lake Victoria,1,0.0,True
2993h,38.86287361,-7.16541013,Wami / Ruvu,33,500.0,True
63712,30.4743807,-3.59878746,Lake Tanganyika,1,350.0,True
61979cqo,32.0258239,-8.93900583,Lake Rukwa,2,200.0,True
39704p,40.30198716,-10.32095944,Ruvuma / Southern Coast,1,500.0,True
29191hh,38.78345753,-5.10821911,Pangani,3,150.0,True
8055izz,36.35396378,-6.22393508,Wami / Ruvu,1,0.0,True
51403p,0.0,-2e-08,Lake Victoria,1,0.0,
33963gx,39.46211242,-8.85092324,Ruvuma / Southern Coast,13,600.0,True
21669vwo,31.36602526,-7.97201012,Lake Tanganyika,3,1.0,False
7900,0.0,-2e-08,Lake Victoria,6,0.0,True
337eea,29.69182833,-4.83944178,Lake Tanganyika,3,450.0,True
17861p,34.89217109,-11.35532944,Lake Nyasa,3,86.0,True
13195k,36.04584041,-5.92990107,Wami / Ruvu,5,0.0,True
54722,38.36129061,-9.94014777,Ruvuma / Southern Coast,43,350.0,False
2845mky,34.59648052,-9.08290229,Rufiji,4,25.0,True
17111yt,32.94752532,-9.32481172,Lake Nyasa,5,0.0,True
21338s,33.50643109,-3.28863325,Lake Victoria,8,0.0,True
49326,34.06791698,-3.17625599,Internal,2,0.0,True
15358be,37.16959606,-10.87676104,Ruvuma / Southern Coast,1,1.0,True
33040lc,35.70202678,-5.63404591,Internal,6,,True
40592,34.41769364,-9.21264691,Rufiji,4,75.0,True
29513x,36.85533064,-7.95071025,Rufiji,3,300.0,True
51163e,31.86585448,-8.65868897,Lake Rukwa,2,240.0,True
40920yt,33.46782217,-4.03006799,Internal,2,0.0,True
65101,36.714157,-8.73986417,Rufiji,4,203.0,True
21127qhk,36.55763103,-6.23339413,Wami / Ruvu,3,0.0,True
67822md,36.6901363,-3.34459861,Pangani,2,,True
14135pa,35.51442025,-4.41280954,Internal,2,215.0,True
10458rq,37.52655685,-3.3144532,Pangani,4,1.0,False
32089oq,0.0,-2e-08,Lake Victoria,1,0.0,True
8230jin,36.77188524,-3.1465134,Internal,7,360.0,True
43433bpz,34.65294448,-11.10267439,Lake Nyasa,3,98.0,True
62188tp,38.189668,-6.84613413,Wami / Ruvu,2,160.0,True
19,39.73442461,-10.56919171,Ruvuma / Southern Coast,1,450.0,True
26577,36.98516699,-3.56223676,Pangani,4,200.0,True
9382,30.03804351,-4.77413286,Lake Tanganyika,2,1200.0,True
29744,36.83183178,-3.52725556,Pangani,2,300.0,True
26655x,33.72743813,-8.95106078,Rufiji,2,0.0,False
17978ie,36.94719085,-2.9594595,Internal,6,200.0,True
51558ru,36.41670102,-6.22015672,Wami / Ruvu,3,0.0,True
48007t,37.04899808,-5.84463878,Wami / Ruvu,5,1.0,True
25534ntu,34.4015168,-9.61540484,Lake Nyasa,3,0.0,True
13969ql,33.35584599,-4.02026539,Internal,2,0.0,True
39548,30.20482368,-4.50371347,Lake Tanganyika,2,210.0,True
25143,36.95971049,-7.69740663,Rufiji,3,300.0,True
25736w,36.84681264,-3.36932707,Pangani,7,400.0,True
17516wec,33.46719471,-2.15195843,Lake Victoria,4,350.0,True
66980,33.10638261,-4.8807539,Lake Tanganyika,3,0.0,True
45444,36.65697271,-8.13354916,Rufiji,3,120.0,True
59310scf,0.0,-2e-08,Lake Victoria,6,0.0,True
59102x,35.91834892,-3.17692667,Internal,30,100.0,True
61883,36.48669063,-8.0823985,Rufiji,3,,True
93ouv,35.63182868,-10.26251276,Lake Nyasa,2,300.0,True
15988b,34.58307637,-9.0613773,Rufiji,4,50.0,True
19304dkm,39.18336934,-8.14122174,Rufiji,53,1.0,True
44092uy,36.88414665,-11.44710356,Ruvuma / Southern Coast,1,1.0,True
53847e,36.72938267,-6.08425531,Wami / Ruvu,3,0.0,True
67634p,37.54983568,-3.54812862,Pangani,2,400.0,True
37524e,35.66085777,-3.3252079,Internal,30,250.0,True
16341ffm,34.21765613,-2.97432722,Lake Victoria,1,450.0,True
39176e,36.35436543,-8.81788385,Rufiji,4,309.0,True
24836k,35.33758379,-10.45739934,Lake Nyasa,2,0.0,True
73470dn,33.42849515,-7.45825658,Lake Rukwa,1,0.0,True
11533t,32.81860519999999,-4.27140543,Lake Tanganyika,1,0.0,False
74217ibr,36.68729462,-3.58425942,Pangani,2,100.0,True
7007,34.50392432,-9.87356716,Lake Nyasa,5,95.0,True
4101m,33.31855816,-2.6736728,Lake Victoria,4,0.0,True
17041,32.04720198,-8.86304324,Lake Rukwa,2,60.0,True
38725mea,34.76969867,-9.12297853,Rufiji,4,130.0,True
39749eji,39.15988725,-6.90254757,Wami / Ruvu,2,1.0,
62642z,37.51103348,-3.26130463,Pangani,4,1.0,False
49453j,37.88913692,-4.26978864,Pangani,3,80.0,True
63018vuj,34.99999697,-8.46718958,Rufiji,2,0.0,True
65932,39.30951061,-10.66709242,Ruvuma / Southern Coast,33,150.0,False
56863oks,36.04384037,-10.99183394,Ruvuma / Southern Coast,5,360.0,True
23835qfi,37.819264,-6.77130648,Wami / Ruvu,2,250.0,True
34870,38.11780585,-10.92589018,Ruvuma / Southern Coast,63,,True
39915,36.92693499,-3.46538763,Pangani,7,159.0,True
9736uua,32.88066822,-2.01163745,Lake Victoria,1,1000.0,True
70019,33.82500278,-9.44602467,Lake Nyasa,3,0.0,True
20984h,33.09165496,-2.99658524,Lake Victoria,7,0.0,False
20132r,32.65185323,-3.84954464,Lake Victoria,3,0.0,True
5963,33.64477524,-2.8630691,Lake Victoria,2,0.0,True
3740swi,35.57900029,-7.86736004,Rufiji,1,,True
43742n,37.32334128,-11.44864298,Ruvuma / Southern Coast,1,1.0,True
5784,30.62028881,-7.36693972,Lake Tanganyika,3,1.0,False
42548sb,34.85214846,-8.66717288,Rufiji,2,0.0,True
5121ub,36.93386583,-7.13289579,Wami / Ruvu,1,,True
57478j,30.95668868,-2.7845813,Lake Victoria,4,0.0,True
3627dcf,34.47972070000001,-9.72147456,Lake Nyasa,5,35.0,True
4062clz,32.50846356,-2.54770471,Lake Victoria,5,0.0,True
15832y,39.17840407,-6.93801296,Wami / Ruvu,2,100.0,
34741ff,34.83510749,-11.30350354,Lake Nyasa,3,65.0,True
67097,37.06946585,-6.8202965,Wami / Ruvu,1,250.0,True
4437,37.48326369,-3.39258445,Pangani,4,50.0,True
65817a,37.0304035,-3.20928183,Pangani,7,1.0,True
39559,39.04848579,-6.72041799,Wami / Ruvu,2,1.0,True
54412vhq,34.3749434,-8.70124771,Rufiji,7,0.0,False
25344,38.83957764,-7.75992386,Rufiji,53,1.0,True
2301j,37.35486229,-3.2451682,Pangani,4,1.0,False
32844zco,35.94500825,-3.20935984,Internal,1,1.0,False
59874,31.82735182,-1.21231446,Lake Victoria,2,0.0,True
50233o,39.17884933,-6.97320593,Wami / Ruvu,2,1000.0,True
29639e,33.24888389,-8.8435735,Lake Rukwa,2,0.0,True
65584evy,37.27119332,-3.29718526,Pangani,4,30.0,True
43808dcn,33.01279745,-3.80931874,Internal,3,0.0,True
6788vgl,35.87087695,-4.13690289,Internal,1,48.0,True
51220vjb,0.0,-2e-08,Lake Victoria,1,0.0,True
66383etf,37.41089685,-3.44935828,Pangani,4,1.0,True
58599,36.65918148,-3.30484906,Pangani,2,,True
29383cx,33.46966096,-3.6079163,Internal,7,0.0,False
36809s,39.14943018,-7.65826289,Rufiji,53,1.0,True
29753cis,31.61498498,-1.2126409,Lake Victoria,7,0.0,True
72112d,37.97008233,-9.61128322,Ruvuma / Southern Coast,43,250.0,
34926rw,38.96698938,-9.99109379,Ruvuma / Southern Coast,53,2150.0,True
779,34.84505919,-8.58236567,Rufiji,2,0.0,True
68126crm,36.02607935,-8.54589527,Rufiji,3,,True
24794cc,33.44574404,-8.75232028,Lake Rukwa,2,0.0,True
29771f,33.52797453,-2.82067589,Lake Victoria,4,0.0,True
29052z,29.82376296,-4.87487688,Lake Tanganyika,3,220.0,True
4923c,33.88927158,-9.26773755,Lake Nyasa,4,0.0,True
38642ze,39.57054828,-10.90308413,Ruvuma / Southern Coast,4,1.0,True
27079xn,33.00045117,-8.38308888,Lake Rukwa,1,0.0,True
60111,34.78207959,-9.12239269,Rufiji,4,85.0,True
12478,36.85403955,-3.45504725,Pangani,7,,True
67155ax,33.81341932,-3.83221112,Internal,8,0.0,True
54733ntu,38.24224578,-11.13603413,Ruvuma / Southern Coast,63,86.0,True
45654,36.69906756,-8.08846585,Rufiji,3,500.0,True
54678x,34.70473384,-9.20234087,Rufiji,4,95.0,True
1439h,39.07821972,-9.86254017,Ruvuma / Southern Coast,53,1680.0,True
16313eds,33.28236873,-3.85714836,Internal,3,0.0,True
6735b,37.89366796,-4.34519815,Pangani,3,120.0,True
3328y,38.67500341,-6.40813861,Wami / Ruvu,1,60.0,True
1220h,31.52611967,-1.63276881,Lake Victoria,2,0.0,True
57970t,30.87464627,-3.1403549,Lake Tanganyika,1,350.0,True
44204hbu,37.63139468,-3.12675292,Pangani,1,1.0,True
63675z,35.68945716,-3.02923374,Internal,5,210.0,True
40519a,37.17327799,-11.09305121,Ruvuma / Southern Coast,1,1.0,True
66382riw,35.76409768,-10.47927001,Lake Nyasa,5,375.0,True
45386oqi,37.8425512,-9.52034219,Ruvuma / Southern Coast,43,250.0,True
43604,38.51700167,-5.59165039,Pangani,6,2000.0,True
59053bk,38.24712015,-4.558200599999998,Pangani,1,1.0,True
